N_out,P_low,P_upp
0,0.9988130639571701,1.0
1,0.9984388044922058,0.9999999218554653
2,0.9981184468420602,0.999995005712549
3,0.997824667821975,0.9999766053914597
4,0.9975475717336536,0.9999444901446071
5,0.9972822243619504,0.9999011472655264
6,0.9970257379701711,0.9998488291831092
7,0.9967762477054704,0.9997892415241432
8,0.9965324656058098,0.9997236521027976
9,0.9962934575096493,0.9996530161891845
10,0.9960585200865997,0.9995780683291186
11,0.9958271079636701,0.9994993849943359
12,0.9955987880376238,0.9994174271469085
13,0.9953732095095055,0.9993325695756674
14,0.995150083489883,0.9992451215160602
15,0.9949291686817703,0.9991553414414787
16,0.9947102610625503,0.9990634478824335
17,0.9944931862780059,0.9989696274846382
18,0.9942777939243586,0.9988740411107465
19,0.9940639531749078,0.998776828530811
20,0.9938515493836535,0.998678112077584
21,0.9936404814115325,0.9985779995308264
22,0.9934306594956867,0.9984765864192441
23,0.9932220035326782,0.9983739578768057
24,0.9930144416813559,0.9982701901540136
25,0.9928079092154656,0.9981653518590639
26,0.9926023475734872,0.9980595049854128
27,0.9923977035657601,0.9979527057688602
28,0.9921939287081806,0.9978450054073776
29,0.9919909786586069,0.9977364506695424
30,0.9917888127372498,0.9976270844118873
31,0.9915873935162346,0.9975169460212538
32,0.9913866864665114,0.9974060717949889
33,0.9911866596526102,0.997294495269314
34,0.9909872834675453,0.9971822475042303
35,0.9907885304015918,0.997069357331776
36,0.9905903748397905,0.9969558515732279
37,0.9903927928839321,0.9968417552298579
38,0.9901957621954967,0.9967270916510718
39,0.9899992618566095,0.9966118826831167
40,0.9898032722465487,0.9964961488010307
41,0.9896077749317288,0.9963799092260824
42,0.9894127525674049,0.9962631820306035
43,0.9892181888096064,0.9961459842318242
44,0.9890240682360276,0.9960283318760925
45,0.9888303762747848,0.9959102401146496
46,0.9886370991401062,0.995791723271975
47,0.988444223774146,0.9956727949075709
48,0.9882517377942235,0.9955534678719391
49,0.9880596294448832,0.9954337543574036
50,0.9878678875542464,0.9953136659443458
51,0.9876765014941944,0.99519321364335
52,0.9874854611439803,0.9950724079336906
53,0.9872947568569138,0.9949512587985417
54,0.9871043794298097,0.9948297757572458
55,0.9869143200749217,0.9947079678949328
56,0.9867245703941232,0.9945858438897524
57,0.9865351223551136,0.9944634120379515
58,0.9863459682694641,0.9943406802769988
59,0.9861571007723284,0.9942176562069405
60,0.9859685128036692,0.9940943471101503
61,0.9857801975908613,0.9939707599696179
62,0.9855921486325544,0.9938469014859057
63,0.9854043596836795,0.9937227780928909
64,0.985216824741508,0.9935983959723981
65,0.9850295380326697,0.9934737610678147
66,0.9848424940010526,0.9933488790967766
67,0.9846556872965114,0.9932237555629978
68,0.9844691127643206,0.9930983957673165
69,0.9842827654353111,0.9929728048180175
70,0.9840966405166399,0.9928469876404895
71,0.9839107333831407,0.9927209489862687
72,0.9837250395692133,0.992594693441515
73,0.9835395547612114,0.9924682254349653
74,0.9833542747902901,0.9923415492454003
75,0.9831691956256822,0.9922146690086632
76,0.9829843133683696,0.9920875887242613
77,0.9827996242451237,0.9919603122615802
78,0.9826151246028886,0.9918328433657395
79,0.9824308109034816,0.9917051856631129
80,0.9822466797185919,0.9915773426665381
81,0.9820627277250557,0.9914493177802352
82,0.9818789517003886,0.9913211143044556
83,0.9816953485185608,0.9911927354398778
84,0.9815119151459963,0.9910641842917667
85,0.9813286486377842,0.9909354638739123
86,0.9811455461340866,0.9908065771123623
87,0.9809626048567316,0.9906775268489606
88,0.9807798221059811,0.9905483158447043
89,0.9805971952574598,0.9904189467829306
90,0.9804147217592373,0.9902894222723448
91,0.9802323991290556,0.9901597448498968
92,0.9800502249516895,0.9900299169835172
93,0.9798681968764358,0.9898999410747211
94,0.9796863126147214,0.9897698194610866
95,0.9795045699378248,0.9896395544186151
96,0.9793229666747034,0.9895091481639814
97,0.9791415007099223,0.989378602856679
98,0.9789601699816761,0.9892479206010666
99,0.9787789724799021,0.9891171034483212
100,0.9785979062444771,0.988986153398303
101,0.9784169693634942,0.9888550724013382
102,0.9782361599716162,0.9887238623599208
103,0.9780554762484991,0.9885925251303423
104,0.9778749164172855,0.9884610625242486
105,0.977694478743161,0.9883294763101315
106,0.9775141615319718,0.9881977682147561
107,0.9773339631289006,0.9880659399245282
108,0.9771538819171977,0.9879339930868044
109,0.9769739163169633,0.9878019293111484
110,0.9767940647839806,0.9876697501705355
111,0.9766143258085952,0.9875374572025081
112,0.9764346979146398,0.9874050519102848
113,0.9762551796584014,0.9872725357638256
