N,0.001_sc_low,0.001_sc_low_e,1e-09_sc_low,1e-09_sc_low_e,0.001_sc_upp,0.001_sc_upp_e,1e-09_sc_upp,1e-09_sc_upp_e,0.001_hf_low,0.001_hf_low_e,1e-09_hf_low,1e-09_hf_low_e,0.001_hf_upp,0.001_hf_upp_e,1e-09_hf_upp,1e-09_hf_upp_e
25,0.0032735191801445524,0.006118913993015423,0.00019386450767893147,0.0007069758155000435,0.502273971986063,0.07726622411311998,0.7382631157576193,0.05533737825660278,5.052539647959486e-07,7.14519145808674e-05,0.0,0.0,0.490086920704081,0.0600178234860279,0.7545512322777184,0.059971669979086546
50,0.00809085621144645,0.008912503529329669,0.0010884363455683512,0.0020029294231862357,0.37503477662411033,0.059301023143468155,0.5573853461007394,0.05414816064411157,3.4477707097863886e-06,0.0002762037953347904,0.0,0.0,0.3756465423800469,0.04248102422682391,0.5626869054036342,0.04244897610967785
100,0.017339569183252544,0.011047451650148343,0.00470703622169063,0.004424956380326647,0.28615536472712305,0.041581998609796715,0.4102320864197262,0.042314374670394436,2.0186165022653548e-05,0.0006439791453685483,0.0,0.0,0.29491236035204055,0.03000206272891915,0.42729096077964124,0.030006245199957954
200,0.030131569594878907,0.011220964237238232,0.013460400497900751,0.006712173891014097,0.2264132234159376,0.028171795657977346,0.3060904468572777,0.029894029517441825,0.0004100071388289908,0.002656689897849514,0.0,0.0,0.23786017119002348,0.0211850977753231,0.331272202701817,0.02119479950076197
400,0.04372895934911879,0.009885828366570879,0.02674610565033998,0.0074225752255443435,0.18657014583906098,0.01894836318848559,0.23738336529340806,0.020290335876401135,0.007291911017568837,0.009834829214479111,2.7660392203587846e-08,6.184989874326255e-06,0.19747168017602026,0.014990659451721934,0.26367168038982064,0.015015671244070316
800,0.05612934006709805,0.008035696588110675,0.04118653050398276,0.006762685653840079,0.15984945323755903,0.012807255217751013,0.19228488915519804,0.013562824410730413,0.031023040151736726,0.010625890928974802,0.00035401527036967614,0.0017283433778491153,0.16886778559501173,0.01063828532224531,0.21567470135090855,0.010601623153997458
1600,0.06664044263271439,0.006164567026183084,0.05453247863602347,0.005558822701460714,0.1418993556988148,0.008621765720963247,0.16280525271057456,0.009066864377926784,0.051286084911989875,0.007473507157620176,0.018200441732141612,0.007434177825809133,0.14875981508801012,0.007473507157620176,0.18180248394491036,0.007474673321872397
3200,0.0749718361881385,0.004645810472665562,0.06570967763600868,0.004348439356348956,0.12949956187713302,0.00592007058696845,0.14323514099597742,0.006152115779883206,0.06553955407749414,0.005312915605433516,0.042158621199545734,0.005309693618447971,0.13446388967250586,0.0053129156054335155,0.15785329755045427,0.005309693618447971
6400,0.08142039948873887,0.0034155782641129614,0.07454995423083158,0.0032695085920436805,0.12089502329348831,0.004070051718971443,0.13003229660811016,0.004186845715567572,0.07561734401849494,0.0037538995464921287,0.059093593965044836,0.0037497385284204813,0.12435420910650508,0.0037538995464921287,0.14090208415995514,0.0037497385284204813
12800,0.08632668803011001,0.0024722038440252087,0.08132272839619478,0.0024105187820085195,0.11488373120363582,0.002806372737818276,0.12102085539454456,0.002876206842398978,0.08276069735124707,0.002643365872470587,0.07107260825602288,0.002651175805394238,0.11722286514875295,0.002643365872470587,0.12891994643147714,0.0026511758053942387
